time,open,high,low,close,tick_volume,spread,real_volume,time_sin,time_cos,price_diff,trendline
2020-01-12,109.52,110.287,109.501,110.161,145940,3,0,0.0,1.0,,
2020-01-19,110.105,110.22,109.17,109.278,164126,3,0,0.0,1.0,-0.8829999999999956,
2020-01-26,108.968,109.264,108.305,108.346,257541,3,0,0.0,1.0,-0.9320000000000022,
2020-02-02,108.431,110.02,108.311,109.776,235222,3,0,0.0,1.0,1.4299999999999926,
2020-02-09,109.685,110.134,109.559,109.772,201199,3,0,0.0,1.0,-0.003999999999990678,
2020-02-16,109.803,112.225,109.655,111.566,247964,2,0,0.0,1.0,1.793999999999997,
2020-02-23,111.315,111.681,107.506,108.062,648742,2,0,0.0,1.0,-3.504000000000005,
2020-03-01,107.513,108.576,104.992,105.348,671430,1,0,0.0,1.0,-2.7139999999999986,
2020-03-08,104.425,108.496,101.177,107.998,1090337,0,0,0.0,1.0,2.6500000000000057,
2020-03-15,106.906,111.504,105.137,110.854,1444468,0,0,0.0,1.0,2.8559999999999945,
2020-03-22,110.779,111.711,107.756,107.975,1079326,0,0,0.0,1.0,-2.879000000000005,
2020-03-29,107.676,108.725,106.918,108.456,675764,0,0,0.0,1.0,0.48100000000000875,
2020-04-05,108.346,109.379,108.206,108.421,490751,0,0,0.0,1.0,-0.03499999999999659,
2020-04-12,108.421,108.524,106.925,107.551,645633,0,0,0.0,1.0,-0.8700000000000045,
2020-04-19,107.396,108.042,107.279,107.487,536304,0,0,0.0,1.0,-0.06400000000000716,
2020-04-26,107.541,107.62,106.356,106.914,400520,0,0,0.0,1.0,-0.5729999999999933,
2020-05-03,106.776,107.067,105.985,106.682,258177,0,0,0.0,1.0,-0.23199999999999932,
2020-05-10,106.502,107.766,106.482,107.164,224517,0,0,0.0,1.0,0.4819999999999993,
2020-05-17,107.083,108.085,107.065,107.607,186910,0,0,0.0,1.0,0.44299999999999784,
2020-05-24,107.557,107.944,107.077,107.785,208319,0,0,0.0,1.0,0.17799999999999727,
2020-05-31,107.674,109.848,107.381,109.587,259369,0,0,0.0,1.0,1.8020000000000067,
2020-06-07,109.547,109.689,106.569,107.348,293572,0,0,0.0,1.0,-2.2390000000000043,
2020-06-14,107.291,107.637,106.666,106.87,243726,0,0,0.0,1.0,-0.47799999999999443,
2020-06-21,106.773,107.451,106.071,107.219,221097,0,0,0.0,1.0,0.34899999999998954,
2020-06-28,107.06,108.161,107.038,107.488,192190,1,0,0.0,1.0,0.26900000000000546,
2020-07-05,107.439,107.79,106.639,106.914,163436,2,0,0.0,1.0,-0.5739999999999981,
2020-07-12,106.866,107.43,106.663,107.016,162680,0,0,0.0,1.0,0.10200000000000387,
2020-07-19,107.013,107.533,105.679,106.121,167551,0,0,0.0,1.0,-0.8950000000000102,
2020-07-26,106.012,106.107,104.185,105.927,269929,0,0,0.0,1.0,-0.1939999999999884,
2020-08-02,105.769,106.47,105.298,105.917,257901,2,0,0.0,1.0,-0.010000000000005116,
2020-08-09,105.841,107.047,105.705,106.57,205850,0,0,0.0,1.0,0.6529999999999916,
2020-08-16,106.512,106.653,105.099,105.814,236235,1,0,0.0,1.0,-0.7560000000000002,
2020-08-23,105.764,106.944,105.2,105.34,250866,2,0,0.0,1.0,-0.47399999999998954,
