time,open,high,low,close,tick_volume,spread,real_volume,time_sin,time_cos,price_diff,trendline
2019-12-17 12:00:00,1.31933,1.32147,1.31315,1.31448,15145,2,0,1.2246467991473532e-16,-1.0,,
2019-12-17 16:00:00,1.31448,1.31732,1.30991,1.31301,15469,2,0,-0.8660254037844385,-0.5000000000000004,-0.0014700000000000824,
2019-12-17 20:00:00,1.31301,1.31387,1.3111,1.31291,7021,2,0,-0.8660254037844386,0.5000000000000001,-9.999999999998899e-05,
2019-12-18 00:00:00,1.31266,1.31341,1.3089,1.30957,12415,2,0,0.0,1.0,-0.0033400000000001207,
2019-12-18 04:00:00,1.30956,1.3111,1.3072300000000001,1.31107,5912,2,0,0.8660254037844386,0.5000000000000001,0.0015000000000000568,
2019-12-18 08:00:00,1.31107,1.31287,1.30769,1.31103,13711,2,0,0.8660254037844387,-0.4999999999999998,-4.0000000000040004e-05,
2019-12-18 12:00:00,1.31109,1.31182,1.30594,1.30798,14271,2,0,1.2246467991473532e-16,-1.0,-0.003049999999999997,
2019-12-18 16:00:00,1.30796,1.30896,1.306,1.30829,14620,2,0,-0.8660254037844385,-0.5000000000000004,0.00031000000000003247,
2019-12-18 20:00:00,1.30829,1.30883,1.3071,1.3076699999999999,6028,3,0,-0.8660254037844386,0.5000000000000001,-0.0006200000000000649,
2019-12-19 00:00:00,1.3077,1.30883,1.30697,1.30851,5821,3,0,0.0,1.0,0.0008400000000001739,
2019-12-19 04:00:00,1.30851,1.30901,1.30788,1.30835,3962,3,0,0.8660254037844386,0.5000000000000001,-0.00016000000000016001,
2019-12-19 08:00:00,1.30835,1.3127499999999999,1.3076400000000001,1.31057,9148,2,0,0.8660254037844387,-0.4999999999999998,0.0022200000000001108,
2019-12-19 12:00:00,1.31057,1.31323,1.30231,1.30585,16412,2,0,1.2246467991473532e-16,-1.0,-0.0047200000000000575,
2019-12-19 16:00:00,1.30585,1.30655,1.2989600000000001,1.3038,18083,3,0,-0.8660254037844385,-0.5000000000000004,-0.0020499999999998852,
2019-12-19 20:00:00,1.30384,1.30398,1.29962,1.3009,8195,2,0,-0.8660254037844386,0.5000000000000001,-0.0029000000000001247,
2019-12-20 00:00:00,1.30091,1.3020399999999999,1.30046,1.30193,3904,2,0,0.0,1.0,0.0010300000000000864,
2019-12-20 04:00:00,1.30193,1.30285,1.30165,1.30195,3258,4,0,0.8660254037844386,0.5000000000000001,1.999999999990898e-05,
2019-12-20 08:00:00,1.30195,1.30472,1.30107,1.30402,7993,3,0,0.8660254037844387,-0.4999999999999998,0.0020700000000000163,
2019-12-20 12:00:00,1.304,1.3057,1.30163,1.30552,10395,3,0,1.2246467991473532e-16,-1.0,0.0015000000000000568,
2019-12-20 16:00:00,1.30552,1.30792,1.30193,1.3021,12510,2,0,-0.8660254037844385,-0.5000000000000004,-0.0034199999999999786,
2019-12-20 20:00:00,1.3021,1.30244,1.29779,1.30006,7884,2,0,-0.8660254037844386,0.5000000000000001,-0.0020400000000000418,
2019-12-23 00:00:00,1.2993999999999999,1.30142,1.29863,1.30137,5005,2,0,0.0,1.0,0.0013099999999999223,
2019-12-23 04:00:00,1.30137,1.30162,1.3005,1.30131,3191,3,0,0.8660254037844386,0.5000000000000001,-5.999999999994898e-05,
2019-12-23 08:00:00,1.3013,1.30317,1.30042,1.30096,7632,3,0,0.8660254037844387,-0.4999999999999998,-0.0003500000000000725,
2019-12-23 12:00:00,1.30097,1.30118,1.2904900000000001,1.2924,13693,2,0,1.2246467991473532e-16,-1.0,-0.008559999999999901,
