trendline,price_diff,tick_volume,close
,,3400,109.774
,0.0310000000000059,2251,109.805
,0.0,1260,109.805
,-0.0600000000000022,1482,109.745
,-0.0150000000000005,2200,109.73
,0.0360000000000013,2177,109.766
,0.0099999999999909,760,109.776
,-0.0609999999999928,1260,109.715
,-0.0990000000000037,2883,109.616
,0.0360000000000013,2764,109.652
,0.1290000000000049,3729,109.781
,0.0509999999999877,2727,109.832
,-0.066999999999993,1334,109.765
,-0.0330000000000012,891,109.732
,0.0430000000000063,1104,109.775
,0.0459999999999922,1208,109.821
,-0.0210000000000007,1902,109.8
,-0.0189999999999912,2815,109.781
,-0.0550000000000068,1493,109.726
,0.0409999999999968,2131,109.767
,0.0100000000000051,1416,109.777
,-0.0319999999999964,1450,109.745
,-0.007000000000005,1713,109.738
,0.0300000000000011,2633,109.768
,-0.0370000000000061,2044,109.731
,0.0350000000000108,1458,109.766
,-0.081000000000003,1717,109.685
,-0.0030000000000001,1043,109.682
,0.0139999999999957,1077,109.696
,0.0490000000000065,1657,109.745
,0.0259999999999962,1088,109.771
,-0.0169999999999959,906,109.754
,0.012999999999991,1121,109.767
,0.0460000000000064,1276,109.813
,0.0319999999999964,1440,109.845
,0.0289999999999963,1098,109.874
,-0.0009999999999905,634,109.873
,0.0069999999999907,341,109.88
,0.0130000000000052,668,109.893
,0.0040000000000048,913,109.897
,0.0139999999999957,1345,109.911
,-0.034000000000006,1897,109.877
,-0.0139999999999957,1563,109.863
,0.0109999999999956,1018,109.874
,-0.0249999999999914,827,109.849
,-0.0050000000000096,933,109.844
,-0.0639999999999929,2127,109.78
,0.019999999999996,2692,109.8
,0.1050000000000039,2682,109.905
,-0.1200000000000045,2256,109.785
,0.0300000000000011,1685,109.815
,-0.0349999999999965,1216,109.78
,-0.0310000000000059,1690,109.749
,0.0290000000000105,1752,109.778
,0.0039999999999906,602,109.782
,0.0020000000000095,3322,109.784
,0.0569999999999879,1397,109.841
,0.0040000000000048,2749,109.845
,0.0229999999999961,2166,109.868
,0.0090000000000003,1304,109.877
,-0.0529999999999972,684,109.824
,0.0010000000000047,723,109.825
,0.0300000000000011,809,109.855
,0.012999999999991,1140,109.868
,0.0130000000000052,1431,109.881
,0.2249999999999943,2823,110.106
,-0.1159999999999996,1818,109.99
,-0.027000000000001,1264,109.963
,-0.0090000000000003,938,109.954
,0.0010000000000047,891,109.955
,0.0259999999999962,1162,109.981
,0.0720000000000027,2146,110.053
,-0.039999999999992,2334,110.013
