time,open,high,low,close,tick_volume,spread,real_volume,ema_89,time_sin,time_cos,price_diff,trendline
2019-03-25,1312.19,1324.49,1310.91,1322.01,36116,15,0,1308.5167323220473,0.0,1.0,8.940000000000055,1304.7229437229435
2019-03-26,1321.89,1323.21,1312.63,1315.1,33737,12,0,1308.6630271593353,0.0,1.0,-6.910000000000082,1308.781212121212
2019-03-27,1316.56,1319.27,1308.02,1309.63,49515,14,0,1308.6845154446835,0.0,1.0,-5.4699999999998,1312.1643722943722
2019-03-28,1309.31,1312.24,1288.48,1289.87,40599,15,0,1308.2664151014683,0.0,1.0,-19.76000000000022,1311.4240692640692
2019-03-29,1291.03,1299.71,1286.66,1292.16,36253,8,0,1307.90849476588,0.0,1.0,2.290000000000191,1310.8537229437227
2019-04-01,1292.15,1296.97,1286.37,1287.3,35818,14,0,1307.4505282155271,0.0,1.0,-4.860000000000127,1307.8200865800866
2019-04-02,1287.35,1292.41,1285.24,1292.34,25835,12,0,1307.1147386996265,0.0,1.0,5.039999999999964,1305.0976190476188
2019-04-03,1292.19,1294.52,1288.34,1289.66,27327,14,0,1306.7268556174126,0.0,1.0,-2.6799999999998363,1301.9107359307357
2019-04-04,1290.39,1294.35,1280.88,1292.38,27632,13,0,1306.4080366036924,0.0,1.0,2.7200000000000273,1299.0598701298693
2019-04-05,1292.74,1293.53,1284.35,1291.49,27455,13,0,1306.076524679166,0.0,1.0,-0.8900000000001,1295.8920346320344
2019-04-08,1292.17,1303.66,1291.39,1297.49,23309,10,0,1305.8857130196288,0.0,1.0,6.0,1294.9377056277058
2019-04-09,1297.78,1306.15,1296.55,1303.9,33090,13,0,1305.841586063637,0.0,1.0,6.410000000000082,1294.658311688311
2019-04-10,1304.36,1310.53,1300.9,1307.94,33655,15,0,1305.8882174844448,0.0,1.0,4.039999999999964,1295.7083982683985
2019-04-11,1308.05,1309.13,1289.53,1292.26,40410,15,0,1305.5853682070126,0.0,1.0,-15.680000000000064,1294.6444155844156
2019-04-12,1292.42,1295.76,1290.01,1290.46,35036,9,0,1305.2492489135234,0.0,1.0,-1.7999999999999545,1292.2396536796532
2019-04-15,1291.22,1291.89,1282.43,1287.57,30511,11,0,1304.856376715445,0.0,1.0,-2.8900000000001,1289.951125541125
2019-04-16,1287.82,1288.72,1272.89,1276.69,37582,15,0,1304.2304572328796,0.0,1.0,-10.879999999999882,1286.0597835497833
2019-04-17,1276.72,1279.71,1272.93,1273.76,32860,13,0,1303.5533359610379,0.0,1.0,-2.9300000000000637,1282.2811255411252
2019-04-18,1274.26,1277.65,1271.09,1275.47,31394,12,0,1302.9292618285704,0.0,1.0,1.7100000000000364,1279.7947619047613
2019-04-22,1275.72,1279.77,1273.74,1274.7,21624,15,0,1302.3019448990465,0.0,1.0,-0.7699999999999818,1277.3591341991337
2019-04-23,1275.25,1276.44,1266.21,1272.1,30666,14,0,1301.6307905679564,0.0,1.0,-2.6000000000001364,1275.2720779220779
2019-04-24,1272.14,1278.49,1268.72,1275.5,32797,14,0,1301.0501063331128,0.0,1.0,3.400000000000091,1275.1719913419909
2019-04-25,1275.62,1282.53,1273.31,1277.18,34181,12,0,1300.5196595257103,0.0,1.0,1.6800000000000637,1275.316017316017
2019-04-26,1277.33,1288.67,1274.15,1285.95,38920,10,0,1300.1958893140277,0.0,1.0,8.769999999999982,1276.988138528138
2019-04-29,1285.92,1286.65,1278.01,1279.49,30175,11,0,1299.7357584403826,0.0,1.0,-6.460000000000036,1275.9393073593073
2019-04-30,1279.91,1286.14,1279.85,1283.29,36375,9,0,1299.3702971417074,0.0,1.0,3.7999999999999545,1275.9178354978346
2019-05-01,1283.13,1287.23,1272.83,1276.48,42936,8,0,1298.8616238718917,0.0,1.0,-6.809999999999945,1274.3399999999997
2019-05-02,1277.06,1277.91,1266.2,1270.48,37990,12,0,1298.230921119183,0.0,1.0,-6.0,1272.3177489177485
2019-05-03,1270.52,1282.52,1268.13,1278.97,39549,15,0,1297.8029006498678,0.0,1.0,8.490000000000009,1271.8310389610383
2019-05-06,1282.56,1285.77,1276.93,1280.2,39892,12,0,1297.4117250798706,0.0,1.0,1.2300000000000182,1271.9605194805197
2019-05-07,1281.33,1286.03,1278.13,1284.28,39904,12,0,1297.1199089669847,0.0,1.0,4.079999999999927,1272.8875757575759
2019-05-08,1283.91,1291.44,1279.27,1280.49,42097,13,0,1296.750355434385,0.0,1.0,-3.7899999999999636,1273.8070129870127
2019-05-09,1281.23,1288.17,1279.56,1283.4,46217,15,0,1296.4536808691764,0.0,1.0,2.910000000000082,1276.074199134199
2019-05-10,1284.43,1289.37,1283.11,1285.66,48490,14,0,1296.2138212943057,0.0,1.0,2.259999999999991,1279.3935064935063
2019-05-13,1287.13,1301.19,1281.9,1299.79,44745,15,0,1296.29329193221,0.0,1.0,14.129999999999882,1284.0167532467528
2019-05-14,1300.59,1303.23,1293.65,1296.76,32675,12,0,1296.303663222605,0.0,1.0,-3.0299999999999727,1287.832987012987
2019-05-15,1297.04,1300.84,1292.99,1296.35,38680,15,0,1296.3046929287693,0.0,1.0,-0.41000000000008185,1291.219393939394
2019-05-16,1296.45,1298.72,1283.97,1286.31,36934,14,0,1296.0825886414632,0.0,1.0,-10.039999999999964,1291.6735930735929
2019-05-17,1286.54,1288.89,1274.72,1277.48,38861,15,0,1295.669197782764,0.0,1.0,-8.829999999999927,1290.1565800865797
2019-05-20,1278.29,1278.95,1273.61,1277.63,30684,15,0,1295.268326720925,0.0,1.0,0.15000000000009095,1288.7807359307358
2019-05-21,1277.54,1277.86,1269.41,1274.69,29422,13,0,1294.8110305715709,0.0,1.0,-2.9400000000000546,1286.7816883116889
2019-05-22,1274.5,1277.26,1272.43,1273.41,28455,10,0,1294.335452114425,0.0,1.0,-1.2799999999999727,1284.3079653679652
2019-05-23,1273.64,1287.27,1272.78,1283.56,42712,14,0,1294.095997622993,0.0,1.0,10.149999999999864,1283.9425541125536
2019-05-24,1283.49,1285.2,1280.71,1284.8,32122,12,0,1293.8894198980377,0.0,1.0,1.240000000000009,1283.8525541125543
2019-05-27,1285.21,1287.33,1283.72,1284.95,15551,14,0,1293.6907661225257,0.0,1.0,0.15000000000009095,1284.5254545454543
