time,open,high,low,close,tick_volume,spread,real_volume,ema_89,time_sin,time_cos,price_diff,trendline
2020-02-11,1572.09,1574.05,1561.92,1567.63,75255,7,0,1567.63,0.0,1.0,,
2020-02-12,1567.49,1570.46,1561.95,1565.73,65805,7,0,1567.587777777778,0.0,1.0,-1.900000000000091,
2020-02-13,1566.13,1578.33,1565.51,1575.98,80200,7,0,1567.7742716049383,0.0,1.0,10.25,
2020-02-14,1575.91,1585.01,1573.02,1583.69,60275,7,0,1568.1279544581619,0.0,1.0,7.710000000000036,
2020-02-17,1581.25,1583.78,1578.85,1580.86,30617,7,0,1568.4108888035362,0.0,1.0,-2.8300000000001546,
2020-02-18,1583.69,1605.05,1583.23,1601.35,78332,7,0,1569.1428690523464,0.0,1.0,20.49000000000001,
2020-02-19,1601.17,1612.91,1599.53,1611.34,81876,7,0,1570.0805830734055,0.0,1.0,9.990000000000009,
2020-02-20,1610.97,1623.73,1603.84,1619.26,105222,7,0,1571.1734590051076,0.0,1.0,7.920000000000073,
2020-02-21,1619.7,1649.23,1618.92,1643.73,115265,7,0,1572.785826582772,0.0,1.0,24.470000000000027,
2020-02-24,1659.37,1689.25,1650.83,1658.5,156168,7,0,1574.6905859920437,0.0,1.0,14.769999999999982,
2020-02-25,1657.47,1658.77,1624.98,1635.26,176551,7,0,1576.0365729699984,0.0,1.0,-23.24000000000001,
2020-02-26,1638.13,1654.95,1624.73,1640.5,161690,7,0,1577.4690935706649,0.0,1.0,5.240000000000009,
2020-02-27,1641.12,1660.37,1635.19,1644.23,163430,7,0,1578.9526692690945,0.0,1.0,3.730000000000018,
2020-02-28,1641.91,1649.46,1562.93,1584.7,186323,7,0,1579.0803877297813,0.0,1.0,-59.52999999999997,
2020-03-02,1581.79,1610.94,1575.31,1589.75,171570,7,0,1579.3174902246749,0.0,1.0,5.0499999999999545,
2020-03-03,1590.45,1649.29,1589.58,1639.48,146391,7,0,1580.6544348863486,0.0,1.0,49.73000000000002,
2020-03-04,1642.09,1653.13,1631.81,1635.73,124231,7,0,1581.8783363333184,0.0,1.0,-3.75,
2020-03-05,1636.57,1674.57,1634.97,1671.58,121017,7,0,1583.8717066370223,0.0,1.0,35.84999999999991,
2020-03-06,1671.61,1692.09,1641.97,1674.06,164891,7,0,1585.8758909339774,0.0,1.0,2.480000000000018,
2020-03-09,1695.92,1703.44,1657.41,1678.15,151869,7,0,1587.9264266910002,0.0,1.0,4.0900000000001455,
2020-03-10,1667.73,1671.42,1641.49,1649.37,143340,7,0,1589.2918394312,0.0,1.0,-28.7800000000002,1667.4689177489172
2020-03-11,1651.93,1671.24,1632.94,1636.63,128334,7,0,1590.343798554951,0.0,1.0,-12.739999999999782,1665.0319047619046
2020-03-12,1640.1,1650.07,1560.59,1578.63,158775,7,0,1590.0834919203967,0.0,1.0,-58.0,1651.2234632034636
2020-03-13,1576.3,1597.91,1504.62,1529.78,192149,2,0,1588.7434143221656,0.0,1.0,-48.850000000000136,1629.5533333333335
2020-03-16,1543.04,1562.94,1451.13,1509.09,219115,2,0,1586.9733384483395,0.0,1.0,-20.690000000000055,1605.5452380952381
2020-03-17,1511.75,1553.85,1465.42,1527.8,208552,2,0,1585.6583753717096,0.0,1.0,18.710000000000036,1585.5572727272724
2020-03-18,1537.29,1543.29,1472.61,1484.63,192152,2,0,1583.4133003634493,0.0,1.0,-43.169999999999845,1560.5476190476186
