time,close,tick_volume,price_diff,trendline,time_sin,time_cos
2020-02-07 17:00:00,109.774,3400,,,-0.9659258262890683,-0.25881904510252063
2020-02-07 18:00:00,109.805,2251,0.0310000000000059,,-1.0,-1.8369701987210297e-16
2020-02-07 19:00:00,109.805,1260,0.0,,-0.9659258262890684,0.2588190451025203
2020-02-07 20:00:00,109.745,1482,-0.0600000000000022,,-0.8660254037844386,0.5000000000000001
2020-02-07 21:00:00,109.73,2200,-0.0150000000000005,,-0.7071067811865477,0.7071067811865474
2020-02-07 22:00:00,109.766,2177,0.0360000000000013,,-0.5000000000000004,0.8660254037844384
2020-02-07 23:00:00,109.776,760,0.0099999999999909,,-0.2588190451025207,0.9659258262890683
2020-02-10 00:00:00,109.715,1260,-0.0609999999999928,,0.0,1.0
2020-02-10 01:00:00,109.616,2883,-0.0990000000000037,,0.25881904510252074,0.9659258262890683
2020-02-10 02:00:00,109.652,2764,0.0360000000000013,,0.49999999999999994,0.8660254037844387
2020-02-10 03:00:00,109.781,3729,0.1290000000000049,,0.7071067811865476,0.7071067811865476
2020-02-10 04:00:00,109.832,2727,0.0509999999999877,,0.8660254037844386,0.5000000000000001
2020-02-10 05:00:00,109.765,1334,-0.066999999999993,,0.9659258262890683,0.25881904510252074
2020-02-10 06:00:00,109.732,891,-0.0330000000000012,,1.0,6.123233995736766e-17
2020-02-10 07:00:00,109.775,1104,0.0430000000000063,,0.9659258262890683,-0.25881904510252085
2020-02-10 08:00:00,109.821,1208,0.0459999999999922,,0.8660254037844387,-0.4999999999999998
2020-02-10 09:00:00,109.8,1902,-0.0210000000000007,,0.7071067811865476,-0.7071067811865475
2020-02-10 10:00:00,109.781,2815,-0.0189999999999912,,0.49999999999999994,-0.8660254037844387
2020-02-10 11:00:00,109.726,1493,-0.0550000000000068,,0.258819045102521,-0.9659258262890682
2020-02-10 12:00:00,109.767,2131,0.0409999999999968,,1.2246467991473532e-16,-1.0
2020-02-10 13:00:00,109.777,1416,0.0100000000000051,,-0.25881904510252035,-0.9659258262890684
2020-02-10 14:00:00,109.745,1450,-0.0319999999999964,,-0.5000000000000001,-0.8660254037844386
2020-02-10 15:00:00,109.738,1713,-0.007000000000005,,-0.7071067811865475,-0.7071067811865477
2020-02-10 16:00:00,109.768,2633,0.0300000000000011,,-0.8660254037844385,-0.5000000000000004
2020-02-10 17:00:00,109.731,2044,-0.0370000000000061,,-0.9659258262890683,-0.25881904510252063
2020-02-10 18:00:00,109.766,1458,0.0350000000000108,,-1.0,-1.8369701987210297e-16
2020-02-10 19:00:00,109.685,1717,-0.081000000000003,,-0.9659258262890684,0.2588190451025203
