time,open,high,low,close,tick_volume,spread,real_volume,ema_89,time_sin,time_cos,price_diff,trendline
2019-10-14,1486.43,1497.06,1482.77,1493.03,74909,14,0,1491.8346512513288,0.0,1.0,5.099999999999909,
2019-10-15,1492.37,1498.53,1477.13,1481.0,85309,14,0,1491.5938812235213,0.0,1.0,-12.029999999999973,
2019-10-16,1481.09,1491.51,1476.96,1489.52,91869,14,0,1491.5477949741098,0.0,1.0,8.519999999999982,
2019-10-17,1489.99,1497.31,1483.37,1492.23,81532,14,0,1491.5629550857961,0.0,1.0,2.7100000000000364,
2019-10-18,1491.98,1494.17,1484.81,1489.93,72019,14,0,1491.5266671950005,0.0,1.0,-2.2999999999999545,
2019-10-21,1491.65,1495.17,1481.42,1484.06,73746,14,0,1491.3607412573338,0.0,1.0,-5.870000000000118,
2019-10-22,1484.53,1488.93,1480.78,1487.77,69834,14,0,1491.2809470071707,0.0,1.0,3.7100000000000364,
2019-10-23,1487.93,1496.23,1487.62,1491.75,65293,14,0,1491.2913704070113,0.0,1.0,3.980000000000018,
2019-10-24,1491.33,1503.96,1487.93,1502.9,67974,14,0,1491.5493399535221,0.0,1.0,11.150000000000091,
2019-10-25,1503.03,1517.93,1500.55,1504.16,76377,14,0,1491.8295768434439,0.0,1.0,1.259999999999991,
2019-10-28,1503.29,1508.17,1489.93,1492.54,76826,14,0,1491.8453640247005,0.0,1.0,-11.620000000000118,
2019-10-29,1491.81,1494.71,1483.33,1487.9,73054,14,0,1491.757689268596,0.0,1.0,-4.639999999999873,
2019-10-30,1487.39,1496.52,1481.08,1495.6,74557,14,0,1491.843073951516,0.0,1.0,7.699999999999818,
2019-10-31,1495.77,1514.19,1493.89,1512.13,70127,14,0,1492.2938945303713,0.0,1.0,16.5300000000002,
2019-11-01,1512.49,1516.09,1503.22,1513.9,72696,14,0,1492.7740302074742,0.0,1.0,1.7699999999999818,
2019-11-04,1512.69,1514.77,1504.34,1509.48,60931,14,0,1493.1452739806414,0.0,1.0,-4.420000000000073,
2019-11-05,1508.83,1509.61,1479.31,1483.78,86931,14,0,1492.9371567810715,0.0,1.0,-25.700000000000045,
2019-11-06,1483.71,1494.13,1482.91,1490.14,70392,14,0,1492.874997741492,0.0,1.0,6.360000000000127,
2019-11-07,1489.79,1492.21,1460.46,1468.52,100691,14,0,1492.3337755694588,0.0,1.0,-21.62000000000012,
2019-11-08,1468.11,1472.87,1456.12,1458.72,83604,14,0,1491.5868027790264,0.0,1.0,-9.799999999999955,
2019-11-11,1460.22,1466.36,1448.15,1455.65,62464,14,0,1490.7882071617146,0.0,1.0,-3.0699999999999363,
2019-11-12,1454.99,1460.32,1445.57,1456.3,88273,14,0,1490.021802558121,0.0,1.0,0.6499999999998636,
2019-11-13,1457.29,1467.0,1456.64,1463.26,84024,14,0,1489.4270958346071,0.0,1.0,6.960000000000036,
2019-11-14,1463.99,1474.55,1461.07,1470.97,79413,14,0,1489.0169381493936,0.0,1.0,7.710000000000036,
2019-11-15,1471.22,1471.31,1462.37,1467.37,63220,14,0,1488.5358950794068,0.0,1.0,-3.6000000000001364,
2019-11-18,1467.85,1473.89,1456.28,1470.78,65688,14,0,1488.1413196331978,0.0,1.0,3.410000000000082,
